1,2,gene,chrom,chromStart,chromEnd,name,score,strand,type,isoformIDs,coverage,I_g1.group1.,I_g2.group2.,dI_g1_vs_g2,pvalue,FDR
10006,ABI1,10006//ABI1,chr10,27059173,27066169,CA-10006-87023-92998-93013-93742[INC][191/203],0,-,cass,INC/SKIP,118,0.932203389830508,0.860050890585242,0.0721524992452667,0.0403658528831266,0.0582164218420581
10011,SRA1,10011//SRA1,chr5,139930645,139936856,CA-10011-3947-8909-9112-9924[INC][113/3],0,-,cass,INC/SKIP,26,1,0.983094928478544,0.0169050715214565,0.0408169158045463,0.058796029561344
100129583,FAM47E,100129583//FAM47E,chr4,77199221,77204935,CA-100129583-67185-69224-69302-72341[INC][12/1][DNT],0,+,cass,INC/SKIP,366,0.740820734341253,0.691220988900101,0.0495997454411519,0.127784377085334,0.165202207226671
100130691,LOC100130691,100130691//LOC100130691,chr2,178187812,178199256,CA-100130691-61299-63440-63550-72295[INC][3/13],0,-,cass,INC/SKIP,22,0,0.0383275261324042,-0.0383275261324042,0.131314643596678,0.16921727515002
100131089,LOC100131089,100131089//LOC100131089,chr15,40338161,40357684,CA-100131089-9759-28150-28291-28910[INC][2/5],0,+,cass,INC/SKIP,194,0.28476821192053,0.254515599343186,0.0302526125773442,0.269476628108554,0.323026124490262
100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3311-3434-3909[INC][48/10][UPT],0,-,cass,INC/SKIP,1377,0.612412177985948,0.523518992324346,0.0888931856616029,2.58320080521655e-10,1.46234606189247e-09
100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3290-3434-3909[INC][3/10][UPT],0,-,cass,INC/SKIP,1016,0.508537490720119,0.42274678111588,0.085790709604239,2.59989474593081e-10,1.46762708131958e-09
167153,PAPD4,167153//PAPD4,chr5,78944439,78952823,CA-167153-39274-39642-39771-47538[INC][13/1],0,+,cass,INC/SKIP,31,1,0.910533910533911,0.0894660894660895,0.103852818036339,0.136717054882456
169026,SLC30A8,169026//SLC30A8,chr8,118147336,118159391,CA-169026-188126-199546-199576-199681[INC][11/11][UPT],0,+,cass,INC/SKIP,5511,0.631921824104234,0.654461318674493,-0.0225394945702585,0.00196247442119173,0.00386037252052786
170622,COMMD6,170622//COMMD6,chr13,76100571,76104401,CA-170622-10742-13004-13043-14216[INC][6/225],0,-,cass,INC/SKIP,136,0.00274641440341776,0.00819513454216945,-0.00544872013875169,0.0027019102495826,0.00513251333714801
171017,ZNF384,171017//ZNF384,chr12,6779925,6782605,CA-171017-19357-20040-20223-21734[INC][5/14],0,-,cass,INC/SKIP,29,0.574468085106383,0.58695652173913,-0.0124884366327475,0.832627377523499,0.863540330124129
1716,DGUOK,1716//DGUOK,chr2,74154019,74185371,CA-1716-3227-33299-33415-34320[INC][1/18][UPT],0,+,cass,INC/SKIP,332,0.777777777777778,0.75482712168837,0.0229506560894078,0.941709387376943,0.961985426818073
