chr20	-	44482561	44482623	44477088	44477314	44483797	44483931
chr4	-	74447905	74448007	74447533	74447585	74450896	74451081
chr2	-	11595467	11595600	11593707	11593924	11597304	11597359
chr1	+	28075578	28075665	28081705	28081841	28071164	28071322
chr2	+	120306660	120306761	120317264	120317351	120303660	120303846
chr2	+	120319589	120319690	120344694	120344798	120317503	120317602
chr1	-	220191467	220191488	220184287	220184398	220191790	220191850
chr4	+	187207568	187207664	187208837	187208977	187206791	187206967
chr17	+	65882243	65882432	65887959	65888150	65871671	65871860
chr17	+	65959448	65959622	65960327	65960520	65955656	65955991
chr6	-	84928820	84928932	84925493	84925640	84930774	84930889
chr11	+	117209281	117209384	117214881	117214993	117206320	117206396
chr14	-	23559190	23559310	23550956	23551045	23559730	23559842
chr4	+	41672734	41672809	41673570	41673611	41668577	41668683
chr13	-	77677343	77677445	77671504	77673148	77692474	77692654
chr10	+	126507952	126508019	126515163	126515354	126505144	126505181
chr9	+	96285561	96285645	96289436	96289524	96278264	96278551
chr17	-	74717344	74717438	74716441	74716580	74717879	74718015
chr4	-	39911863	39911958	39910014	39910160	39915230	39915346
chr5	+	102523014	102523077	102526542	102526683	102522020	102522140
chr2	-	20478343	20478580	20462953	20463221	20482707	20482992
chr3	+	15287032	15287178	15288238	15288301	15283684	15283760
chr17	+	53084866	53084958	53108528	53108625	53078168	53078244
chr3	+	141115100	141115345	141122768	141122873	141105713	141105779
chr12	+	106706070	106706212	106708135	106708271	106704818	106705010
chr14	-	31597817	31598654	31596990	31597212	31602443	31602620
chr7	+	56142278	56142429	56144526	56144582	56141806	56141911
chr14	+	72043251	72043304	72054287	72056087	71996028	71996087
chr4	-	74005247	74006000	74000833	74000982	74007457	74007560
chr3	-	15626754	15626849	15624383	15624496	15631046	15631119
chr3	-	15628031	15628109	15624383	15624496	15631046	15631119
chr9	+	128097450	128097531	128099296	128099374	128094788	128094908
chr3	-	114429114	114429160	114412374	114412422	114432822	114432862
chr3	-	114300960	114301113	114219198	114219238	114412374	114412422
chr15	+	45895297	45895385	45897625	45897712	45884332	45884474
chr11	-	18025987	18026082	18022043	18022104	18028137	18028293
chr11	+	34673283	34673352	34678454	34678517	34673088	34673157
chr7	-	38767940	38768034	38766508	38766588	38768141	38768186
chr18	+	612764	612911	617987	618106	606977	607099
chr18	+	613158	613281	617987	618106	606977	607099
chr12	-	56868827	56868967	56868629	56868680	56869407	56869761
chr10	+	99922639	99922732	99923049	99923154	99915849	99915904
chr3	+	37327504	37327552	37330725	37330782	37323448	37323763
chr3	-	121441108	121441225	121437234	121437348	121445759	121445888
chr8	-	93933730	93933888	93929156	93929238	93966633	93966792
chr7	-	150491048	150491159	150490631	150490688	150493453	150493786
chr11	+	93488375	93488552	93490481	93490631	93487101	93487203
chr16	-	69786143	69786274	69783461	69783533	69788496	69788629
chr21	+	17222095	17222191	17236586	17236765	17214716	17214859
chr15	-	60682411	60682516	60678226	60678285	60689456	60689537
chr11	+	130007150	130007186	130010292	130010378	130005457	130005610
chr17	+	73014680	73014789	73015794	73015854	73013172	73013209
chr9	-	14683564	14683727	14680030	14680160	14690334	14690383
chr4	-	110678918	110678939	110673623	110673659	110681425	110681536
chr10	+	90770509	90770572	90771755	90771838	90770295	90770357
chr2	+	24384375	24384483	24387067	24387204	24369799	24369956
chr2	-	182438479	182438611	182414360	182414435	182468563	182468806
chr5	+	66445216	66445417	66448464	66448694	66440971	66441207
chr5	+	61668264	61668378	61669513	61669664	61662240	61662308
chr3	-	122176572	122176695	122172716	122172848	122180070	122180165
chr10	+	29707110	29707233	29709419	29712143	29704285	29704341
chr15	-	85082934	85083019	85081762	85081847	85085375	85085515
chr16	-	46843514	46843697	46835955	46836982	46858297	46858394
chr13	-	37441409	37441520	37439673	37439895	37446794	37447052
chr3	-	47963254	47963368	47960208	47960331	47969717	47969840
chr3	+	152164492	152164546	152165408	152165562	152163070	152163328
chr3	+	152173330	152173366	152174055	152174150	152165408	152165562
chr12	+	69222550	69222711	69229608	69229764	69218334	69218431
chr1	+	204513662	204513812	204515924	204516005	204511911	204512072
chr18	+	48465939	48466010	48466657	48466756	48458627	48458730
chr6	+	161529982	161530073	161530786	161530946	161529774	161529891
chr7	+	130140629	130140731	130142484	130142561	130140254	130140373
chr17	+	29070318	29070387	29086508	29086557	29062050	29062115
chr2	+	192267357	192267444	192272840	192272915	192265107	192265194
chr8	-	62559308	62559437	62557158	62557191	62563608	62563683
chr15	-	52635313	52635394	52632392	52632591	52638557	52638658
chr4	-	170429919	170430003	170429398	170429482	170458959	170459062
chr6	+	3010258	3010423	3012777	3012908	3006701	3006793
chr17	+	43161025	43161123	43163875	43164020	43159011	43159120
chr11	+	27679784	27680009	27680717	27680775	27661391	27661552
chr10	-	74804738	74804809	74803644	74803715	74806682	74806859
chr11	-	31823418	31823460	31822238	31823324	31824251	31824382
chr8	-	131104218	131104389	131092147	131092217	131124339	131124568
chr9	+	128724380	128724493	128725290	128725380	128722962	128723128
chr10	-	99205209	99205363	99202993	99203068	99205488	99205604
chr10	-	99198419	99198460	99197456	99197507	99200927	99201016
chr2	-	32118310	32118390	32117060	32117203	32142994	32143106
chr8	+	17840741	17840798	17842955	17843128	17838099	17838264
chr13	+	50099908	50100073	50100522	50100594	50098220	50098352
chr12	+	44164840	44164907	44165022	44165168	44161905	44162075
chr19	-	49334924	49335016	49318293	49318398	49335922	49336009
chr17	-	57958254	57958471	57955463	57955695	57963443	57963591
chr19	-	50512492	50512642	50510825	50511083	50519280	50519420
chr19	-	50500760	50500827	50498447	50498532	50504046	50504111
chr6	-	13307827	13307977	13306629	13306759	13316802	13316940
chr11	-	46112005	46112132	46105716	46105853	46113733	46113774
chr1	+	99203792	99203945	99225609	99226056	99167372	99167459
chr1	-	192997004	192997085	192992973	192993076	192997214	192997278
chr6	+	116895220	116895334	116901457	116901523	116894020	116894148
chr1	+	172554997	172555088	172557899	172559066	172548341	172548407
chr5	-	145547690	145547828	145543872	145544034	145551472	145551553
chr14	-	36777297	36777395	36769990	36770029	36780778	36780931
chr8	-	130891634	130891717	130883620	130883742	130915557	130915627
chr12	-	110936624	110936664	110933816	110934008	110937261	110937351
chr17	+	48815497	48815560	48817666	48817710	48814647	48814840
chr20	+	9385959	9385995	9388563	9388705	9382136	9382237
chr4	-	77045801	77045909	77039227	77039347	77051808	77051902
chr3	-	145795648	145795711	145794568	145794682	145796902	145797044
chr6	-	137332410	137332589	137330453	137330629	137338104	137338240
chr2	-	201747064	201747158	201746143	201746211	201750420	201750495
chr8	+	42211934	42212039	42213033	42213085	42210036	42210086
chr5	+	145631273	145631438	145634505	145634655	145616860	145616995
chr9	-	125620201	125620372	125618010	125618157	125620947	125621381
chr9	-	32984619	32984855	32974455	32974559	32985968	32986028
chr10	+	5777266	5777509	5781580	5782460	5772449	5773166
chr13	+	114201614	114201694	114202617	114202767	114193671	114193822
chr12	-	10761696	10761982	10760452	10760535	10762429	10762540
chr2	-	58390163	58390209	58388656	58388773	58390568	58390652
chr3	-	52658912	52658957	52651277	52651554	52661288	52661386
chr3	+	9471510	9471735	9475053	9475246	9470506	9470693
chr3	+	9471510	9471735	9475528	9475634	9470506	9470693
chr3	+	9478533	9478572	9482139	9482382	9477411	9477590
chr14	+	69908548	69908689	69908785	69908983	69890810	69890919
chr9	+	107533514	107533597	107535102	107535189	107533129	107533279
chr14	+	101300968	101301088	101302503	101302637	101298848	101298978
chr3	-	183560085	183560235	183558357	183558428	183562018	183562114
chr7	+	94916421	94916445	94917847	94918030	94915517	94915637
